id	loan_doc_id	from_ac_id	to_ac_id	amount	txn_type	txn_id	txn_mode	txn_exec_by	txn_date	remarks	created_by	updated_by	created_at	updated_at
42298	CCA-876439-34729	1783	2406	500000.00	disbursal	qxPb1MIG	wallet_portal	1487	2020-11-26 00:00:00	NULL	19	NULL	2020-11-26 16:52:06	NULL
42299	CCA-876439-34729	1783	2406	500000.00	disbursal	qxPb1MIG	wallet_portal	1487	2020-11-26 00:00:00	NULL	19	NULL	2020-11-26 16:52:06	NULL
42300	CCA-876439-34729	1783	2406	500000.00	disbursal	qxPb1MIG	wallet_portal	1487	2020-11-26 00:00:00	NULL	19	NULL	2020-11-26 16:52:08	NULL
42301	CCA-876439-34729	1783	2406	500000.00	disbursal	qxPb1MIG	wallet_portal	1487	2020-11-26 00:00:00	NULL	19	NULL	2020-11-26 16:52:09	NULL
42310	UEZM-776134-74363	3	2168	500000.00	disbursal	87635165	wallet_portal	1173	2020-11-26 00:00:00	NULL	13	NULL	2020-11-26 16:59:03	NULL
42311	UEZM-776134-74363	3	2168	500000.00	disbursal	87635165	wallet_portal	1173	2020-11-26 00:00:00	NULL	13	NULL	2020-11-26 16:59:12	NULL
42789	CCA-126580-18708	1783	2258	500000.00	disbursal	EgsqdgSr	wallet_portal	1486	2020-11-27 00:00:00	NULL	18	NULL	2020-11-29 16:21:26	NULL
42933	CCA-373654-14433	1783	2342	1000000.00	disbursal	L6KB58qm	wallet_portal	1486	2020-11-28 00:00:00	NULL	18	NULL	2020-12-01 07:22:24	NULL
42935	CCA-162418-64691	1783	1900	1000000.00	disbursal	P4IVMrLr	wallet_portal	1486	2020-11-28 00:00:00	NULL	18	NULL	2020-12-01 07:23:05	NULL
42948	CCA-266792-43245	1783	2054	1000000.00	disbursal	NNbLJ9td	wallet_portal	1486	2020-11-28 00:00:00	NULL	18	NULL	2020-12-01 07:33:57	NULL
43098	CCA-862624-46537	1783	1715	1000000.00	disbursal	2smVeZkD	wallet_portal	1173	2020-11-30 00:00:00	NULL	13	NULL	2020-12-01 14:54:00	NULL
43380	CCA-782223-50749	1783	1819	1000000.00	disbursal	Y7jgvhRq	wallet_portal	1486	2020-12-01 00:00:00	NULL	18	NULL	2020-12-03 06:59:01	NULL
43387	CCA-303802-72929	1783	2031	1000000.00	disbursal	6BSiSgKA	wallet_portal	1486	2020-12-01 00:00:00	NULL	18	NULL	2020-12-03 07:04:23	NULL
43419	CCA-346941-77704	1783	2300	1000000.00	disbursal	FHnqnThy	wallet_portal	1486	2020-12-01 00:00:00	NULL	18	NULL	2020-12-03 07:30:17	NULL
44232	CCA-287278-49932	1783	2162	1000000.00	disbursal	cyjRNrql	wallet_portal	1486	2020-12-03 00:00:00	NULL	18	NULL	2020-12-07 09:20:00	NULL
44349	CCA-144296-55257	1783	2237	1000000.00	disbursal	XdPs33kX	wallet_portal	1486	2020-12-03 00:00:00	NULL	18	NULL	2020-12-07 12:28:08	NULL
44352	CCA-476455-26722	1783	1449	3000000.00	disbursal	JGTihfRUHMJMIfWx	wallet_portal	1486	2020-12-03 00:00:00	JGTihfRU/HMJMIfWx	18	NULL	2020-12-07 12:32:36	NULL
44353	CCA-476455-26722	1783	1449	3000000.00	disbursal	JGTihfRUHMJMIfWx	wallet_portal	1486	2020-12-03 00:00:00	JGTihfRU/HMJMIfWx	18	NULL	2020-12-07 12:33:01	NULL
44362	CCA-215369-81819	1783	2422	500000.00	disbursal	csWGUQ9D	wallet_portal	1486	2020-12-03 00:00:00	NULL	18	NULL	2020-12-07 12:39:50	NULL
44399	CCA-914057-20953	1783	1651	3000000.00	disbursal	Dzfz5NKAw4wBCYhp	wallet_portal	1173	2020-12-07 00:00:00	Dzfz5NKA/w4wBCYhp	13	NULL	2020-12-07 13:32:21	NULL
44758	CCA-372451-52092	1783	2459	500000.00	disbursal	i4nWjce9	wallet_portal	1486	2020-12-08 00:00:00	NULL	18	NULL	2020-12-08 13:58:14	NULL
44828	CCA-905005-55403	1783	1952	1500000.00	disbursal	IPTlCAIw	wallet_portal	1486	2020-12-08 00:00:00	NULL	18	NULL	2020-12-08 16:41:26	NULL
44945	CCA-687943-82298	1783	2164	1000000.00	disbursal	HJh4wCAz	wallet_portal	1486	2020-12-09 00:00:00	NULL	18	NULL	2020-12-09 14:49:28	NULL
44947	CCA-687943-82298	1783	2164	1000000.00	disbursal	HJh4wCAz	wallet_portal	1486	2020-12-09 00:00:00	NULL	18	NULL	2020-12-09 14:49:43	NULL
45199	CCA-263352-14595	1783	1760	500000.00	disbursal	Sg3FuRyj	wallet_portal	1486	2020-12-10 00:00:00	NULL	18	NULL	2020-12-10 11:47:24	NULL
45420	CCA-609107-64259	1783	1950	500000.00	disbursal	Kh1TDCA4	wallet_portal	1486	2020-12-11 00:00:00	NULL	18	NULL	2020-12-11 09:37:39	NULL
45424	CCA-503156-45439	1783	2360	500000.00	disbursal	DfybZsYj	wallet_portal	1486	2020-12-11 00:00:00	NULL	18	NULL	2020-12-11 09:47:12	NULL
46118	CCA-911433-40316	1783	1905	1000000.00	disbursal	1ZLlJQkh	wallet_portal	1486	2020-12-15 00:00:00	NULL	18	NULL	2020-12-15 10:54:22	NULL
46274	CCA-645051-93956	1783	1925	2000000.00	disbursal	ssNjxFXJ	wallet_portal	1486	2020-12-15 00:00:00	NULL	18	NULL	2020-12-15 16:33:39	NULL
46832	CCA-496904-66535	1783	1588	3000000.00	disbursal	XVgVVLhkiqVCknjC	wallet_portal	1486	2020-12-18 00:00:00	XVgVVLhk/ iqVCknjC	18	NULL	2020-12-18 10:48:08	NULL
48289	CCA-400660-96418	1783	1803	3000000.00	disbursal	X6pLf2HCdDwZFpQL	wallet_portal	1487	2020-12-28 00:00:00	X6pLf2HC, dDwZFpQL	19	NULL	2020-12-28 16:06:17	NULL
48290	CCA-400660-96418	1783	1803	3000000.00	disbursal	X6pLf2HCdDwZFpQL	wallet_portal	1487	2020-12-28 00:00:00	X6pLf2HC, dDwZFpQL	19	NULL	2020-12-28 16:06:32	NULL
48291	CCA-400660-96418	1783	1803	3000000.00	disbursal	X6pLf2HCdDwZFpQL	wallet_portal	1487	2020-12-28 00:00:00	X6pLf2HC, dDwZFpQL	19	NULL	2020-12-28 16:06:38	NULL
48427	CCA-534429-71753	1783	1412	3000000.00	disbursal	AEIxxmJr3fNexXFD	wallet_portal	1487	2020-12-29 00:00:00	AEIxxmJr,3fNexXFD	19	NULL	2020-12-29 11:38:22	NULL
48453	CCA-914057-96772	1783	1651	3000000.00	disbursal	Bq4xc1WZp8kvwzAY	wallet_portal	1487	2020-12-29 00:00:00	Bq4xc1WZ, p8kvwzAY	19	NULL	2020-12-29 12:00:31	NULL
48872	CCA-166861-64963	1783	1630	3000000.00	disbursal	X3nmqIyfTcVwdCTZ	wallet_portal	1486	2020-12-18 00:00:00	X3nmqIyf/ TcVwdCTZ	18	NULL	2020-12-30 16:14:13	NULL
49933	CCA-938718-20101	1783	1964	1000000.00	disbursal	h6JHjhBn	wallet_portal	1486	2021-01-05 00:00:00	NULL	18	NULL	2021-01-05 14:58:20	NULL
50471	CCA-948041-29256	1783	2228	500000.00	disbursal	67wC7N6v	wallet_portal	1486	2021-01-07 00:00:00	NULL	18	NULL	2021-01-07 13:23:32	NULL
51214	CCA-997323-84950	1783	2628	500000.00	disbursal	lnBFm9WD	wallet_portal	1486	2021-01-12 00:00:00	NULL	18	NULL	2021-01-12 14:51:33	NULL
51286	CCA-485995-49795	1783	2275	1000000.00	disbursal	3kPZkuAv	wallet_portal	1486	2021-01-13 00:00:00	NULL	18	NULL	2021-01-13 09:19:12	NULL
52573	CCA-662082-20711	1783	2441	500000.00	disbursal	51NnPDJ4	wallet_portal	1486	2021-01-25 00:00:00	NULL	18	NULL	2021-01-25 12:44:27	NULL
53965	CCA-206061-24015	1783	2647	500000.00	disbursal	ZGn8q9EL	wallet_portal	1486	2021-02-02 00:00:00	NULL	18	NULL	2021-02-02 11:41:55	NULL
55147	CCA-636757-81714	1783	2699	500000.00	disbursal	th4RcRmW	wallet_portal	1486	2021-02-09 00:00:00	NULL	18	NULL	2021-02-10 10:12:36	NULL
56521	CCA-912380-21784	1783	2135	2000000.00	disbursal	ZpWNNAbM	wallet_portal	1486	2021-02-19 00:00:00	NULL	18	NULL	2021-02-19 11:27:43	NULL
61665	CCA-392356-72699	1783	1477	3000000.00	disbursal	zzWtPis6/fzA31wiG	wallet_portal	1486	2021-03-19 00:00:00	NULL	18	NULL	2021-03-22 16:47:20	NULL
62767	UEZM-978353-50592	3	2668	2000000.00	disbursal	93921437	wallet_portal	1173	2021-03-29 00:00:00	NULL	13	NULL	2021-03-29 13:47:27	NULL
63063	UEZM-710209-80801	3	2243	1000000.00	disbursal	93974805	wallet_portal	1173	2021-03-30 00:00:00	NULL	13	NULL	2021-03-30 16:01:13	NULL
63973	CCA-274733-76207	1783	1410	3000000.00	disbursal	sucxbG9y,eMRbvTxp	wallet_portal	1486	2021-03-30 00:00:00	NULL	18	NULL	2021-04-06 17:19:05	NULL
